Time (ms),VDD_ARM voltage (V),VDD_ARM current (mA),VDD_ARM power (mW),NVCC_DRAM_1V1 voltage (V),NVCC_DRAM_1V1 current (mA),NVCC_DRAM_1V1 power (mW),VSYS_5V voltage (V),VSYS_5V current (mA),VSYS_5V power (mW),VDD_SOC voltage (V),VDD_SOC current (mA),VDD_SOC power (mW),LPD4_VDDQ voltage (V),LPD4_VDDQ current (mA),LPD4_VDDQ power (mW),LPD4_VDD2 voltage (V),LPD4_VDD2 current (mA),LPD4_VDD2 power (mW),NVCC_SD2 voltage (V),NVCC_SD2 current (mA),NVCC_SD2 power (mW),VDD_LVDS_1V8 voltage (V),VDD_LVDS_1V8 current (mA),VDD_LVDS_1V8 power (mW),VDD_HDMI_1V8 voltage (V),VDD_HDMI_1V8 current (mA),VDD_HDMI_1V8 power (mW),NVCC_SNVS_1V8 voltage (V),NVCC_SNVS_1V8 current (mA),NVCC_SNVS_1V8 power (mW),VDD_EARC_1V8 voltage (V),VDD_EARC_1V8 current (mA),VDD_EARC_1V8 power (mW),VDD_USB_1V8 voltage (V),VDD_USB_1V8 current (mA),VDD_USB_1V8 power (mW),VDD_PCI_1V8 voltage (V),VDD_PCI_1V8 current (mA),VDD_PCI_1V8 power (mW),VDD_MIPI_1V8 voltage (V),VDD_MIPI_1V8 current (mA),VDD_MIPI_1V8 power (mW),VDD_PLL_ANA_1V8 voltage (V),VDD_PLL_ANA_1V8 current (mA),VDD_PLL_ANA_1V8 power (mW),NVCC_SD1 voltage (V),NVCC_SD1 current (mA),NVCC_SD1 power (mW),LPD4_VDD1 voltage (V),LPD4_VDD1 current (mA),LPD4_VDD1 power (mW),CPU_VDD_1V8 voltage (V),CPU_VDD_1V8 current (mA),CPU_VDD_1V8 power (mW),BB_VDD_1V8 voltage (V),BB_VDD_1V8 current (mA),BB_VDD_1V8 power (mW),VDD_PLL_ANA_0V8 voltage (V),VDD_PLL_ANA_0V8 current (mA),VDD_PLL_ANA_0V8 power (mW),VDD_PCI_0V8 voltage (V),VDD_PCI_0V8 current (mA),VDD_PCI_0V8 power (mW),VDD_MIPI_0V8 voltage (V),VDD_MIPI_0V8 current (mA),VDD_MIPI_0V8 power (mW),VDD_HDMI_0V8 voltage (V),VDD_HDMI_0V8 current (mA),VDD_HDMI_0V8 power (mW),VDD_USB_3V3 voltage (V),VDD_USB_3V3 current (mA),VDD_USB_3V3 power (mW),VDD_USB_0V8 voltage (V),VDD_USB_0V8 current (mA),VDD_USB_0V8 power (mW),VDD_SD1_3V3 voltage (V),VDD_SD1_3V3 current (mA),VDD_SD1_3V3 power (mW),BB_VDD_3V3 voltage (V),BB_VDD_3V3 current (mA),BB_VDD_3V3 power (mW)
69.3125,0.9443,115.3750,108.9375,1.0957,61.4688,67.3750,5.2188,350.5000,1829.0000,0.9438,846.5000,799.0000,1.1016,20.0781,22.1250,1.1055,81.1875,89.7500,1.7910,0.0671,0.1202,1.8018,0.0214,0.0385,1.8008,-0.0122,-0.0220,1.8027,0.2600,0.4688,1.8008,0.0015,0.0027,1.8008,0.3403,0.6128,1.8027,0.0244,0.0440,1.7998,0.0778,0.1400,1.7988,3.4277,6.1641,1.8037,20.2656,36.5625,1.7979,1.2783,2.2988,1.8018,0.2441,0.4399,1.7988,30.0938,54.1250,0.9419,3.2871,3.0957,0.9424,8.8125,8.3047,0.9473,0.5127,0.4856,0.9424,1.3125,1.2373,3.3008,4.1758,13.7812,0.9390,2.9531,2.7734,3.3047,3.3320,11.0078,3.2949,161.8750,533.5000
69.3750,0.9443,69.8750,66.0000,1.1016,113.6875,125.2500,5.2070,475.0000,2474.0000,0.9390,866.0000,813.0000,1.1006,-6.7148,-7.3906,1.1025,2.8086,3.0957,1.7891,0.1068,0.1910,1.8027,0.0244,0.0440,1.7988,-0.0107,-0.0192,1.8018,0.2781,0.5010,1.8027,0.0000,0.0000,1.7979,0.2900,0.5215,1.7939,-0.0031,-0.0055,1.7979,0.0381,0.0686,1.7910,3.5156,6.2969,1.8027,-0.3052,-0.5503,1.8018,1.8154,3.2715,1.8037,-0.2441,-0.4404,1.8037,10.3750,18.7188,0.9487,3.2598,3.0918,0.9502,8.4688,8.0469,0.9497,0.5952,0.5654,0.9478,1.2725,1.2061,3.3105,4.3867,14.5234,0.9512,1.8311,1.7412,3.3047,-2.1113,-6.9766,3.3086,235.6250,779.5000
69.4375,0.9521,85.0000,80.9375,1.0938,63.5312,69.5000,5.2148,460.7500,2402.0000,0.9404,847.0000,796.5000,1.1025,-6.8359,-7.5352,1.1045,0.7324,0.8091,1.7910,0.0885,0.1584,1.7939,0.0214,0.0383,1.7969,0.0107,0.0192,1.7998,0.2368,0.4263,1.7988,-0.0031,-0.0055,1.7979,0.3389,0.6094,1.7969,0.0519,0.0932,1.7969,0.0748,0.1344,1.7969,3.5391,6.3594,1.8037,-0.3052,-0.5503,1.8037,0.9204,1.6602,1.8008,0.2441,0.4397,1.8018,19.2188,34.6250,0.9531,3.3477,3.1914,0.9492,8.4297,8.0000,0.9556,0.7964,0.7612,0.9487,1.0068,0.9551,3.3027,5.0156,16.5625,0.9434,2.7012,2.5488,3.3066,5.7383,18.9688,3.3047,216.2500,714.5000
69.5000,0.9546,139.7500,133.3750,1.1025,58.5938,64.6250,5.2109,416.5000,2170.0000,0.9409,842.0000,792.5000,1.1064,1.6484,1.8242,1.1016,0.7935,0.8740,1.7930,0.0336,0.0602,1.8018,-0.0092,-0.0165,1.8008,0.0122,0.0220,1.8047,0.2576,0.4648,1.7998,-0.0061,-0.0110,1.7988,0.3433,0.6177,1.7959,0.0031,0.0055,1.7969,0.0839,0.1508,1.7969,3.5488,6.3750,1.7979,-0.4883,-0.8779,1.7988,1.1572,2.0820,1.7949,0.5493,0.9858,1.7998,10.9219,19.6562,0.9482,3.1426,2.9805,0.9478,9.3047,8.8203,0.9424,0.4822,0.4543,0.9429,1.2754,1.2021,3.3105,3.4355,11.3750,0.9546,2.2500,2.1484,3.3066,-0.6836,-2.2598,3.3086,138.2500,457.5000
69.6250,0.9473,59.2188,56.0938,1.0986,64.1875,70.5000,5.2148,397.2500,2072.0000,0.9443,838.0000,791.5000,1.0957,-6.0430,-6.6211,1.0967,7.6914,8.4375,1.7861,0.1221,0.2180,1.7959,0.0061,0.0110,1.7979,-0.0259,-0.0466,1.8008,0.2466,0.4441,1.7979,-0.0015,-0.0027,1.7930,0.3066,0.5498,1.7930,0.0305,0.0547,1.7930,0.0839,0.1505,1.7969,3.5293,6.3398,1.8008,-0.2441,-0.4397,1.8057,1.0010,1.8076,1.8037,0.1831,0.3303,1.8057,13.6094,24.5781,0.9453,3.4922,3.3008,0.9473,9.0938,8.6172,0.9487,0.6348,0.6021,0.9526,1.3730,1.3076,3.3145,4.7734,15.8203,0.9468,2.5781,2.4414,3.3105,2.9062,9.6250,3.3047,133.5000,441.2500
69.6875,0.9536,192.6250,183.7500,1.1045,57.5000,63.5000,5.2109,397.7500,2072.0000,0.9473,845.5000,801.0000,1.0996,-14.1562,-15.5625,1.0986,-4.8828,-5.3633,1.7871,0.0366,0.0654,1.7988,0.0214,0.0384,1.7979,0.0229,0.0411,1.7979,0.2927,0.5264,1.7998,0.0031,0.0055,1.7939,0.2869,0.5146,1.7988,-0.0153,-0.0275,1.7979,0.0931,0.1674,1.7930,3.5176,6.3086,1.8027,-0.8848,-1.5947,1.7988,0.8628,1.5518,1.8115,30.6094,55.4375,1.8018,63.7188,114.8125,0.9497,3.1582,3.0000,0.9531,8.3906,7.9961,0.9551,0.7354,0.7021,0.9517,1.2051,1.1465,3.2949,3.8750,12.7656,0.9497,3.0059,2.8555,3.3047,1.4277,4.7188,3.3027,228.3750,754.5000
69.7500,0.9531,82.0625,78.1875,1.1025,60.3750,66.5625,5.2188,355.0000,1853.0000,0.9448,854.5000,807.5000,1.1025,-8.2969,-9.1484,1.0967,10.7422,11.7812,1.7910,0.0763,0.1366,1.7969,0.0244,0.0439,1.7959,0.0168,0.0301,1.7969,0.2505,0.4502,1.7988,0.0046,0.0082,1.7949,0.3403,0.6108,1.7959,0.0000,0.0000,1.7979,0.0778,0.1399,1.7959,3.5488,6.3750,1.7969,-0.4578,-0.8228,1.7969,1.3203,2.3730,1.7979,-0.0305,-0.0549,1.7988,12.5703,22.6094,0.9424,3.3574,3.1641,0.9438,8.4531,7.9766,0.9468,0.3174,0.3005,0.9453,1.2207,1.1543,3.3066,3.4668,11.4609,0.9482,2.7539,2.6113,3.2949,-2.7461,-9.0469,3.3066,233.1250,771.0000
69.8125,0.9521,58.1250,55.3438,1.1025,104.5000,115.1875,5.2148,409.7500,2136.0000,0.9424,847.5000,798.5000,1.0996,-11.2891,-12.4141,1.1064,54.3125,60.0938,1.7930,0.0916,0.1642,1.7998,0.0580,0.1044,1.7979,0.0290,0.0521,1.7969,0.2415,0.4338,1.7969,0.0198,0.0356,1.7988,0.3052,0.5488,1.8037,-0.0122,-0.0220,1.8057,0.0595,0.1075,1.8027,3.5098,6.3281,1.7988,-2.0449,-3.6777,1.8008,1.3271,2.3906,1.8008,-0.2136,-0.3848,1.8008,13.9141,25.0625,0.9487,3.1367,2.9766,0.9448,8.3672,7.9062,0.9448,0.6255,0.5908,0.9463,0.9463,0.8955,3.3066,4.8008,15.8750,0.9438,2.5566,2.4121,3.3047,0.6470,2.1387,3.3066,237.5000,785.5000
69.9375,0.9478,69.0000,65.3750,1.0977,63.9062,70.1250,5.2148,341.2500,1780.0000,0.9424,846.5000,797.5000,1.1006,23.5000,25.8594,1.1006,-7.3867,-8.1328,1.7871,0.1160,0.2073,1.8008,0.0153,0.0275,1.8008,-0.0229,-0.0412,1.8008,0.2676,0.4819,1.7979,0.0092,0.0165,1.7930,0.3433,0.6152,1.7979,-0.0580,-0.1042,1.7969,0.0946,0.1700,1.7949,3.5293,6.3359,1.7979,-0.5186,-0.9321,1.7979,1.3193,2.3711,1.7979,-0.2747,-0.4939,1.7988,10.3750,18.6562,0.9521,3.4785,3.3125,0.9512,9.3984,8.9375,0.9521,0.5830,0.5552,0.9487,1.1602,1.1006,3.3066,4.1016,13.5625,0.9414,2.4727,2.3281,3.3066,3.6992,12.2344,3.3047,229.0000,757.0000
70.0000,0.9434,62.0938,58.5625,1.0947,78.6875,86.1250,5.2070,455.2500,2370.0000,0.9385,855.5000,803.0000,1.0996,-6.5312,-7.1836,1.1006,-8.8516,-9.7422,1.7910,0.1038,0.1858,1.7988,-0.0183,-0.0329,1.7959,0.0031,0.0055,1.7979,0.2448,0.4399,1.7979,0.0107,0.0192,1.7920,0.3203,0.5742,1.7920,-0.0732,-0.1312,1.7939,0.0671,0.1204,1.7979,3.5273,6.3398,1.7988,-2.8984,-5.2148,1.7988,1.2891,2.3184,1.7959,0.0916,0.1644,1.7949,13.0000,23.3281,0.9531,3.2012,3.0508,0.9536,8.7734,8.3672,0.9531,0.6777,0.6460,0.9517,1.0830,1.0303,3.3008,3.8242,12.6250,0.9463,2.8613,2.7070,3.3066,4.4688,14.7734,3.2988,137.1250,452.2500
70.1250,0.9546,97.6250,93.1875,1.0977,61.7188,67.7500,5.2070,424.2500,2210.0000,0.9399,850.0000,799.0000,1.1025,27.5938,30.4219,1.1035,-2.5020,-2.7617,1.7871,0.0641,0.1145,1.7959,0.0153,0.0274,1.7969,-0.0275,-0.0493,1.7969,0.2435,0.4375,1.7969,0.0046,0.0082,1.7979,0.3081,0.5537,1.7988,-0.0244,-0.0439,1.8037,0.0824,0.1487,1.7969,3.5117,6.3086,1.7979,-2.4102,-4.3320,1.8018,1.7021,3.0664,1.7988,-0.0610,-0.1098,1.7988,14.5859,26.2344,0.9492,3.2344,3.0703,0.9478,9.7656,9.2578,0.9507,0.5557,0.5283,0.9424,0.9673,0.9116,3.3008,4.9609,16.3750,0.9419,1.8232,1.7178,3.3027,-4.5039,-14.8750,3.3008,193.0000,637.0000
70.1875,0.9502,58.4375,55.5312,1.0938,58.4062,63.8750,5.2148,369.7500,1928.0000,0.9419,843.5000,794.5000,1.0957,-7.0781,-7.7539,1.0967,-1.4043,-1.5400,1.7842,0.1068,0.1906,1.7910,0.0397,0.0710,1.7939,0.0092,0.0164,1.7959,0.2451,0.4402,1.7959,-0.0015,-0.0027,1.8047,0.3281,0.5923,1.8018,0.0336,0.0605,1.7998,0.1022,0.1840,1.7979,3.4688,6.2344,1.7969,-4.7305,-8.5000,1.7949,1.2480,2.2402,1.7939,-7.8125,-14.0156,1.7959,12.3281,22.1406,0.9482,3.1465,2.9844,0.9438,8.9688,8.4688,0.9497,0.6807,0.6465,0.9507,1.1387,1.0820,3.3027,3.6191,11.9531,0.9517,3.1055,2.9551,3.3086,5.1758,17.1250,3.3027,170.0000,561.5000
70.2500,0.9463,139.3750,131.8750,1.0967,71.5000,78.4375,5.2109,421.5000,2196.0000,0.9375,849.5000,796.5000,1.1055,-7.4453,-8.2344,1.1064,38.2812,42.3438,1.7939,0.0641,0.1150,1.7910,0.0549,0.0984,1.7900,-0.0153,-0.0273,1.7920,0.2688,0.4817,1.7930,0.0168,0.0301,1.7930,0.3464,0.6211,1.7939,0.0641,0.1150,1.7949,0.0534,0.0959,1.7969,3.4883,6.2695,1.7998,-1.5566,-2.8008,1.7969,0.8862,1.5928,1.7998,0.4272,0.7690,1.8018,19.6562,35.4062,0.9404,3.3203,3.1230,0.9434,9.4219,8.8906,0.9463,0.6348,0.6006,0.9463,1.0254,0.9702,3.3008,4.5352,14.9688,0.9453,2.5020,2.3652,3.2949,-3.1250,-10.2969,3.2949,134.0000,441.5000
70.3125,0.9619,72.9375,70.1875,1.1045,70.0000,77.3125,5.2070,310.0000,1614.0000,0.9409,854.5000,804.0000,1.1055,-7.8125,-8.6328,1.1055,71.2500,78.7500,1.7920,0.0671,0.1203,1.7939,-0.0183,-0.0328,1.7949,0.0122,0.0219,1.7969,0.2258,0.4058,1.7959,0.0015,0.0027,1.7969,0.3311,0.5947,1.7959,-0.0214,-0.0384,1.7969,0.0824,0.1481,1.7959,3.4844,6.2578,1.8047,10.0703,18.1719,1.7949,1.1152,2.0020,1.7959,0.0305,0.0548,1.7949,11.4766,20.5938,0.9438,3.4727,3.2773,0.9424,8.6250,8.1250,0.9409,0.5918,0.5566,0.9448,1.0068,0.9512,3.3047,3.5273,11.6562,0.9487,2.1523,2.0430,3.2988,3.3438,11.0312,3.3008,133.5000,440.7500
70.3750,0.9507,159.7500,151.8750,1.1025,60.3125,66.5000,5.2148,412.0000,2148.0000,0.9497,849.5000,807.0000,1.1006,-6.7734,-7.4531,1.1064,15.9922,17.6875,1.7939,0.1190,0.2135,1.7939,0.0366,0.0657,1.7939,-0.0092,-0.0164,1.7930,0.2313,0.4148,1.7939,0.0107,0.0192,1.7939,0.3022,0.5420,1.7979,0.0366,0.0659,1.7959,0.1190,0.2137,1.7891,3.5156,6.2891,1.8018,-0.2136,-0.3850,1.8037,1.5078,2.7188,1.7988,0.4578,0.8232,1.8047,35.4062,63.9062,0.9492,3.2539,3.0879,0.9497,8.7188,8.2812,0.9453,0.6377,0.6030,0.9492,1.1230,1.0664,3.3008,3.4395,11.3516,0.9424,2.3887,2.2520,3.2988,-3.3320,-10.9922,3.2969,197.7500,652.0000
70.5000,0.9438,71.6875,67.6875,1.0938,59.6250,65.1875,5.2188,429.5000,2242.0000,0.9448,833.0000,787.0000,1.1055,-6.3477,-7.0156,1.1025,-0.9766,-1.0771,1.7871,0.0641,0.1145,1.7988,0.0122,0.0220,1.7979,0.0046,0.0082,1.7988,0.2356,0.4238,1.7979,-0.0031,-0.0055,1.7979,0.3342,0.6011,1.7998,0.0549,0.0989,1.8008,0.0854,0.1539,1.7998,3.5273,6.3477,1.8105,15.3828,27.8438,1.8066,2.3223,4.1953,1.8008,0.3967,0.7144,1.7969,12.6953,22.8125,0.9517,3.4551,3.2871,0.9487,8.4609,8.0234,0.9453,0.5342,0.5049,0.9502,1.3242,1.2578,3.3066,3.9668,13.1172,0.9429,2.6465,2.4961,3.2969,-5.9688,-19.6719,3.2949,219.3750,723.0000
70.5625,0.9473,101.7500,96.3750,1.1006,84.0000,92.4375,5.2070,431.2500,2246.0000,0.9355,844.5000,790.0000,1.1064,5.7969,6.4141,1.0996,-3.1738,-3.4902,1.7939,0.0580,0.1040,1.7949,-0.0092,-0.0164,1.7910,0.0092,0.0164,1.7988,0.2896,0.5210,1.7939,-0.0183,-0.0328,1.7988,0.3267,0.5874,1.8008,-0.0183,-0.0330,1.7949,0.0870,0.1561,1.7998,3.5156,6.3281,1.7979,-0.6406,-1.1514,1.7949,1.0645,1.9102,1.7998,-0.4272,-0.7690,1.8008,24.9062,44.8438,0.9438,3.1152,2.9395,0.9414,8.5625,8.0625,0.9463,0.8516,0.8057,0.9482,1.3096,1.2422,3.3086,4.5859,15.1719,0.9438,2.3047,2.1758,3.3027,7.2617,23.9844,3.3008,133.2500,439.7500
70.6250,0.9551,72.9375,69.6875,1.1025,76.9375,84.8125,5.2109,390.0000,2032.0000,0.9443,855.5000,808.0000,1.1025,-6.9570,-7.6719,1.1025,-1.7090,-1.8838,1.7910,0.0671,0.1202,1.7939,-0.0916,-0.1642,1.7979,-0.0153,-0.0274,1.7939,0.2478,0.4446,1.7959,-0.0092,-0.0164,1.7998,0.3540,0.6372,1.7959,0.0519,0.0932,1.7979,0.0885,0.1591,1.7988,3.5117,6.3164,1.8066,-1.8613,-3.3633,1.8037,1.3311,2.4004,1.8018,0.4578,0.8247,1.8047,12.5703,22.6875,0.9482,3.5469,3.3633,0.9458,9.0234,8.5312,0.9482,0.4912,0.4658,0.9487,1.0957,1.0391,3.3047,3.6992,12.2266,0.9492,2.9297,2.7812,3.3066,-5.8242,-19.2656,3.3008,133.5000,440.7500
70.6875,0.9487,81.3125,77.1250,1.0986,60.2500,66.1875,5.2188,456.0000,2380.0000,0.9434,849.5000,801.5000,1.0996,-6.4688,-7.1133,1.0996,21.9062,24.0938,1.7910,0.0488,0.0875,1.8008,0.0153,0.0275,1.7998,0.0137,0.0247,1.8008,0.2407,0.4336,1.8008,0.0137,0.0247,1.7988,0.3098,0.5571,1.7998,0.0275,0.0494,1.8027,0.0778,0.1403,1.7998,3.5234,6.3398,1.8008,-1.4951,-2.6914,1.8018,1.3818,2.4902,1.8037,-1.4043,-2.5332,1.7988,11.4766,20.6406,0.9521,3.4395,3.2754,0.9478,9.4219,8.9297,0.9482,0.5127,0.4861,0.9536,0.9736,0.9287,3.3086,5.4375,17.9844,0.9531,4.2031,4.0078,3.3008,-2.5996,-8.5781,3.3027,139.7500,461.5000
70.8125,0.9536,58.9062,56.1875,1.1113,112.0000,124.5000,5.2148,434.0000,2264.0000,0.9492,853.0000,809.5000,1.1025,3.9668,4.3750,1.0977,6.6523,7.3008,1.7852,0.1007,0.1798,1.7930,0.0031,0.0055,1.7959,-0.0229,-0.0411,1.7930,0.2651,0.4753,1.7939,-0.0076,-0.0137,1.7939,0.3281,0.5889,1.7969,0.0092,0.0164,1.7998,0.0732,0.1318,1.7969,3.4961,6.2812,1.8047,19.1719,34.5938,1.8057,1.2734,2.2988,1.8037,-9.8906,-17.8438,1.8008,10.8047,19.4531,0.9482,3.0703,2.9121,0.9487,8.4062,7.9766,0.9517,0.6777,0.6450,0.9502,0.9888,0.9395,3.3008,3.4922,11.5234,0.9424,2.9746,2.8027,3.2988,-1.9160,-6.3203,3.3027,157.5000,520.0000
70.8750,0.9531,69.1250,65.8750,1.0967,58.6562,64.3125,5.2148,430.5000,2244.0000,0.9453,848.5000,802.0000,1.1025,4.1484,4.5742,1.1035,33.5000,36.9688,1.7900,0.0458,0.0820,1.7988,-0.0244,-0.0439,1.8008,-0.0137,-0.0247,1.8008,0.2317,0.4172,1.7969,-0.0153,-0.0274,1.7939,0.3418,0.6133,1.7959,0.0488,0.0877,1.7920,0.0793,0.1422,1.7949,3.5820,6.4297,1.7969,-0.3662,-0.6582,1.7959,1.1445,2.0547,1.7979,-5.5234,-9.9297,1.7930,9.2812,16.6406,0.9463,3.3047,3.1270,0.9429,8.8047,8.3047,0.9448,0.6895,0.6514,0.9473,1.4004,1.3262,3.3027,4.6055,15.2109,0.9473,5.1211,4.8516,3.3125,2.3203,7.6875,3.3008,234.0000,772.5000
70.9375,0.9478,43.3438,41.0938,1.0996,59.4375,65.3750,5.2109,382.0000,1991.0000,0.9434,842.5000,795.0000,1.1016,-8.1172,-8.9453,1.1055,-3.8457,-4.2500,1.7930,0.0702,0.1259,1.7979,0.0488,0.0878,1.8027,-0.0320,-0.0578,1.8027,0.2817,0.5078,1.8018,0.0107,0.0192,1.7969,0.3540,0.6362,1.8018,-0.0427,-0.0770,1.7998,0.0748,0.1345,1.7988,3.5605,6.4062,1.7959,-0.7935,-1.4248,1.7969,1.0420,1.8721,1.8027,35.4375,63.8750,1.7998,13.7344,24.7188,0.9478,3.5332,3.3477,0.9492,9.2969,8.8281,0.9487,0.6074,0.5762,0.9473,1.2969,1.2285,3.3145,4.7773,15.8359,0.9497,2.6250,2.4922,3.3047,-2.5508,-8.4297,3.3008,132.0000,435.7500
71.0000,0.9478,130.7500,123.9375,1.1055,81.9375,90.5625,5.2070,307.0000,1599.0000,0.9399,855.5000,804.0000,1.1025,27.4062,30.2188,1.0996,-6.5312,-7.1836,1.7891,0.0702,0.1256,1.7939,0.0153,0.0274,1.7969,0.0275,0.0493,1.7969,0.2496,0.4485,1.7979,0.0137,0.0247,1.7959,0.3464,0.6221,1.7969,0.0061,0.0110,1.7998,0.0748,0.1345,1.7988,3.5625,6.4102,1.7979,-0.6104,-1.0977,1.7979,1.3486,2.4238,1.8008,0.0610,0.1099,1.8047,87.8125,158.5000,0.9463,3.3320,3.1523,0.9487,9.0859,8.6172,0.9458,0.7295,0.6899,0.9521,1.2812,1.2197,3.3047,4.6680,15.4297,0.9429,1.9307,1.8203,3.3027,6.2617,20.6875,3.2988,192.2500,634.0000
71.0625,0.9502,72.0000,68.4375,1.0996,61.8438,68.0000,5.2148,353.5000,1843.0000,0.9375,841.0000,788.5000,1.0996,-6.7734,-7.4492,1.1084,30.1562,33.4375,1.7910,0.0732,0.1312,1.8008,-0.0092,-0.0165,1.7979,0.0275,0.0494,1.7988,0.2188,0.3936,1.8018,0.0122,0.0220,1.7959,0.3220,0.5781,1.7998,0.0000,0.0000,1.7998,0.0458,0.0824,1.8008,3.4844,6.2734,1.7930,-0.2136,-0.3831,1.7988,1.0371,1.8652,1.8018,-3.0215,-5.4453,1.7988,20.0781,36.1250,0.9443,3.4180,3.2285,0.9468,8.6875,8.2266,0.9438,0.7173,0.6772,0.9448,1.2119,1.1455,3.3066,3.6875,12.1953,0.9463,3.0742,2.9082,3.3066,5.6523,18.6875,3.3027,239.7500,792.0000
71.1875,0.9546,140.2500,133.8750,1.1123,97.6250,108.5625,5.2109,440.2500,2294.0000,0.9424,872.0000,822.0000,1.0986,-6.6523,-7.3086,1.1025,10.2500,11.3047,1.7852,0.0732,0.1307,1.8037,0.0214,0.0385,1.7959,0.0046,0.0082,1.7959,0.2228,0.4001,1.8008,0.0122,0.0220,1.7979,0.3325,0.5977,1.7920,0.0031,0.0055,1.8018,0.0824,0.1484,1.7998,3.5098,6.3164,1.8018,-3.7852,-6.8203,1.8037,1.0625,1.9160,1.7969,0.3357,0.6030,1.8008,11.2344,20.2344,0.9473,3.3086,3.1348,0.9478,8.7578,8.2969,0.9478,0.5981,0.5669,0.9473,1.1719,1.1104,3.2949,3.8516,12.6875,0.9404,1.7695,1.6641,3.3027,4.4297,14.6328,3.3066,232.3750,768.5000
71.2500,0.9434,90.6250,85.5000,1.0928,65.5000,71.5625,5.2109,496.2500,2586.0000,0.9443,837.5000,791.0000,1.0977,-6.4688,-7.1016,1.0996,-9.3359,-10.2656,1.7881,0.0427,0.0764,1.7959,-0.0122,-0.0219,1.7998,-0.0061,-0.0110,1.7988,0.2502,0.4502,1.7969,-0.0153,-0.0274,1.7949,0.3203,0.5747,1.7930,0.0214,0.0383,1.7959,0.0977,0.1754,1.7988,3.5547,6.3945,1.7969,-0.3662,-0.6582,1.7969,1.1514,2.0684,1.7939,-0.1831,-0.3284,1.7920,12.0859,21.6562,0.9429,3.1895,3.0078,0.9453,9.2891,8.7812,0.9482,0.7080,0.6714,0.9453,1.3828,1.3076,3.2969,3.7773,12.4531,0.9438,2.0977,1.9795,3.3066,4.2344,14.0000,3.3027,230.7500,762.0000
71.3125,0.9458,197.7500,187.0000,1.1016,100.2500,110.4375,5.2148,420.2500,2192.0000,0.9429,859.5000,810.5000,1.1016,-5.9805,-6.5859,1.0947,-1.8311,-2.0039,1.7891,0.0977,0.1747,1.8008,0.0305,0.0550,1.7988,-0.0046,-0.0082,1.7939,0.2646,0.4749,1.7939,0.0198,0.0356,1.7969,0.2915,0.5239,1.8018,0.0641,0.1155,1.7969,0.0946,0.1700,1.7988,3.5059,6.3047,1.8018,-0.6714,-1.2100,1.7998,1.0957,1.9717,1.8027,10.8047,19.4844,1.8027,33.6875,60.7188,0.9468,3.2871,3.1113,0.9443,8.5703,8.0938,0.9492,0.6743,0.6401,0.9458,1.0283,0.9727,3.3047,3.4609,11.4375,0.9434,1.9609,1.8496,3.3086,3.3438,11.0625,3.3047,210.3750,695.0000
71.3750,0.9492,112.6250,106.8750,1.0967,61.2188,67.1250,5.2109,375.5000,1957.0000,0.9414,839.0000,790.0000,1.1006,17.0938,18.8125,1.1006,-2.0137,-2.2168,1.7861,0.1282,0.2289,1.7969,-0.0153,-0.0274,1.7998,-0.0031,-0.0055,1.8008,0.2649,0.4771,1.7979,-0.0031,-0.0055,1.8008,0.3525,0.6348,1.7969,0.0458,0.0823,1.7998,0.0946,0.1703,1.7998,3.5723,6.4297,1.7979,-1.1289,-2.0293,1.7959,0.7314,1.3135,1.7969,0.0916,0.1646,1.7979,46.9375,84.3750,0.9492,3.2129,3.0488,0.9458,8.5312,8.0703,0.9502,0.4302,0.4087,0.9502,1.1172,1.0615,3.3086,4.9492,16.3750,0.9473,2.6094,2.4727,3.3008,-1.0371,-3.4238,3.3027,193.8750,640.5000
71.5000,0.9517,45.4688,43.2812,1.1006,60.3750,66.4375,5.2148,397.0000,2070.0000,0.9429,845.5000,797.0000,1.0977,-7.8750,-8.6406,1.1006,8.9141,9.8125,1.7891,0.1007,0.1802,1.7998,0.0000,0.0000,1.7988,0.0015,0.0027,1.8018,0.2441,0.4399,1.7998,-0.0092,-0.0165,1.7969,0.3325,0.5977,1.7998,0.0458,0.0824,1.7979,0.0717,0.1289,1.7969,3.4121,6.1328,1.8027,-3.3574,-6.0508,1.7998,0.8887,1.5996,1.8008,0.5186,0.9336,1.7969,12.6953,22.8125,0.9424,3.3164,3.1250,0.9438,8.2188,7.7578,0.9429,0.3267,0.3081,0.9458,1.2021,1.1367,3.3066,4.3672,14.4375,0.9434,2.0898,1.9717,3.3086,-0.1221,-0.4038,3.3066,152.8750,505.5000
71.5625,0.9438,108.9375,102.8125,1.0986,61.1562,67.1875,5.2148,450.2500,2348.0000,0.9414,844.5000,795.0000,1.1035,-7.3867,-8.1484,1.1016,-1.4043,-1.5469,1.7891,0.1099,0.1965,1.7988,0.0153,0.0275,1.7959,0.0107,0.0192,1.7988,0.2671,0.4805,1.7988,0.0137,0.0247,1.7959,0.3372,0.6055,1.7959,0.0702,0.1261,1.7939,0.0580,0.1040,1.7969,3.5449,6.3711,1.7998,-3.0508,-5.4922,1.8018,1.6201,2.9199,1.7988,-0.1221,-0.2196,1.7979,12.2031,21.9375,0.9536,3.1016,2.9570,0.9556,8.6328,8.2500,0.9517,0.3999,0.3806,0.9521,1.2812,1.2197,3.3008,3.8359,12.6641,0.9473,2.1895,2.0742,3.3047,-3.5273,-11.6562,3.3145,243.8750,808.5000
